"DateTime","Temperature","Light"
"12/23/13 1:01:00 PM","-2",""
"12/23/13 5:01:00 PM","-0.5",""
"12/23/13 9:01:00 PM","0",""
"12/24/13 1:01:00 AM","-2",""
"12/24/13 5:01:00 AM","-3",""
"12/24/13 9:01:00 AM","-3.5",""
"12/24/13 1:01:00 PM","-1.5",""
"12/24/13 5:01:00 PM","0",""
"12/24/13 9:01:00 PM","0",""
"12/25/13 1:01:00 AM","-2",""
"12/25/13 5:01:00 AM","-4",""
"12/25/13 9:01:00 AM","-4.5",""
"12/25/13 1:01:00 PM","-2.5",""
"12/25/13 5:01:00 PM","-0.5",""
"12/25/13 9:01:00 PM","-1.5",""
"12/26/13 1:01:00 AM","-3.5",""
"12/26/13 5:01:00 AM","-4.5",""
"12/26/13 9:01:00 AM","-5",""
"12/26/13 1:01:00 PM","-2.5",""
"12/26/13 5:01:00 PM","-0.5",""
"12/26/13 9:01:00 PM","-1",""
"12/27/13 1:01:00 AM","-3",""
"12/27/13 5:01:00 AM","-3.5",""
"12/27/13 9:01:00 AM","-4",""
"12/27/13 1:01:00 PM","-1.5",""
"12/27/13 5:01:00 PM","-0.5",""
"12/27/13 9:01:00 PM","-0.5",""
"12/28/13 1:01:00 AM","-2",""
"12/28/13 5:01:00 AM","-3",""
"12/28/13 9:01:00 AM","-3.5",""
"12/28/13 1:01:00 PM","-1",""
"12/28/13 5:01:00 PM","-0.5",""
"12/28/13 9:01:00 PM","-0.5",""
"12/29/13 1:01:00 AM","-2.5",""
"12/29/13 5:01:00 AM","-3.5",""
"12/29/13 9:01:00 AM","-4",""
"12/29/13 1:01:00 PM","-2",""
"12/29/13 5:01:00 PM","-0.5",""
"12/29/13 9:01:00 PM","-1.5",""
"12/30/13 1:01:00 AM","-4",""
"12/30/13 5:01:00 AM","-5",""
"12/30/13 9:01:00 AM","-5",""
"12/30/13 1:01:00 PM","-3",""
"12/30/13 5:01:00 PM","-1",""
"12/30/13 9:01:00 PM","-2",""
"12/31/13 1:01:00 AM","-4",""
"12/31/13 5:01:00 AM","-4.5",""
"12/31/13 9:01:00 AM","-4.5",""
"12/31/13 1:01:00 PM","-1.5",""
"12/31/13 5:01:00 PM","-0.5",""
"12/31/13 9:01:00 PM","-0.5",""
"1/1/14 1:01:00 AM","-0.5",""
"1/1/14 5:01:00 AM","-1.5",""
"1/1/14 9:01:00 AM","-2.5",""
"1/1/14 1:01:00 PM","-1",""
"1/1/14 5:01:00 PM","0",""
"1/1/14 9:01:00 PM","-1",""
"1/2/14 1:01:00 AM","-2.5",""
"1/2/14 5:01:00 AM","-3.5",""
"1/2/14 9:01:00 AM","-4",""
"1/2/14 1:01:00 PM","-2",""
"1/2/14 5:01:00 PM","-0.5",""
"1/2/14 9:01:00 PM","-1",""
"1/3/14 1:01:00 AM","-2",""
"1/3/14 5:01:00 AM","-3",""
"1/3/14 9:01:00 AM","-4",""
"1/3/14 1:01:00 PM","-1.5",""
"1/3/14 5:01:00 PM","-0.5",""
"1/3/14 9:01:00 PM","-1",""
"1/4/14 1:01:00 AM","-2",""
